"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Тест создания нового юзера с разными параметрами доменов
:param public_users_client - клиент для создания пользователей
:param email - параметр домена для генерации почты
","522","CREATE_ENTITY","LMS service","Mon Mar 09 11:17:51 UTC 2026","passed","Mon Mar 09 11:17:51 UTC 2026","Create entity","Users","",""
"","26","Update exercise","LMS service","Mon Mar 09 11:17:51 UTC 2026","passed","Mon Mar 09 11:17:51 UTC 2026","Update entity","Exercises","",""
"","15","Create exercise","LMS service","Mon Mar 09 11:17:50 UTC 2026","passed","Mon Mar 09 11:17:50 UTC 2026","Create entity","Exercises","",""
"
Тест создания нового юзера с разными параметрами доменов
:param public_users_client - клиент для создания пользователей
:param email - параметр домена для генерации почты
","511","CREATE_ENTITY","LMS service","Mon Mar 09 11:17:52 UTC 2026","passed","Mon Mar 09 11:17:52 UTC 2026","Create entity","Users","",""
"
Тест создания нового юзера с разными параметрами доменов
:param public_users_client - клиент для создания пользователей
:param email - параметр домена для генерации почты
","515","CREATE_ENTITY","LMS service","Mon Mar 09 11:17:52 UTC 2026","passed","Mon Mar 09 11:17:53 UTC 2026","Create entity","Users","",""
"
Тест на получение данных авторизованного пользователя через /api/v1/users/me.

Использует фикстуру private_users_client для автоматической аутентификации.
Проверяет, что возвращённые данные совпадают с данными созданного пользователя.

:param private_users_client: Авторизованный клиент для доступа к приватным эндпоинтам.
:param function_user: Фикстура с данными созданного пользователя.
","15","Get user me","LMS service","Mon Mar 09 11:17:54 UTC 2026","passed","Mon Mar 09 11:17:54 UTC 2026","Get entity","Users","",""
"","22","Get exercises","LMS service","Mon Mar 09 11:17:52 UTC 2026","passed","Mon Mar 09 11:17:52 UTC 2026","Get entities","Exercises","",""
"","76","Update course","LMS service","Mon Mar 09 11:17:48 UTC 2026","passed","Mon Mar 09 11:17:49 UTC 2026","Update entity","Courses","",""
"
Тест проверки авторизации и получения данных пользователя.

:param public_users_client: Клиент для взаимодействия с публичным API пользователей.
:param authentication_client: Клиент для выполнения операций аутентификации.
:param function_user: Фикстура, возвращающая данные созданного и авторизованного пользователя.

","547","Create and check user","LMS service","Mon Mar 09 11:17:52 UTC 2026","passed","Mon Mar 09 11:17:53 UTC 2026","Create entity","Users","",""
"
Тест успешной авторизации пользователя в системе.
 Описание шагов:
1. Создаётся новый пользователь.
2. Выполняется запрос на авторизацию.
3. Проверяется статус-код ответа.
4. Проверяется структура и содержание токена в ответе.
","526","Correct login","LMS service","Mon Mar 09 11:17:47 UTC 2026","passed","Mon Mar 09 11:17:47 UTC 2026","Login","Authentication","",""
"","21","Get exercise","LMS service","Mon Mar 09 11:17:50 UTC 2026","passed","Mon Mar 09 11:17:50 UTC 2026","Get entity","Exercises","",""
"","28","Get courses","LMS service","Mon Mar 09 11:17:47 UTC 2026","passed","Mon Mar 09 11:17:47 UTC 2026","Get entities","Courses","",""
"","17","Delete exercise","LMS service","Mon Mar 09 11:17:51 UTC 2026","passed","Mon Mar 09 11:17:51 UTC 2026","Delete entity","Exercises","",""
"","44","Create course","LMS service","Mon Mar 09 11:17:49 UTC 2026","passed","Mon Mar 09 11:17:49 UTC 2026","Create entity","Courses","",""
